detector,batch_id,score,flagged,threshold,model,features,seed
ks,38,0.5813953488372093,False,0.6434108527131783,sage,base_gfp,4
conf,38,0.060802429523964516,False,0.17347664292577286,sage,base_gfp,4
psi,39,2.467151526727238,True,1.5236816451484274,sage,base_gfp,4
ks,39,0.5581395348837209,False,0.6434108527131783,sage,base_gfp,4
conf,39,0.19734791949020888,True,0.17347664292577286,sage,base_gfp,4
psi,40,1.086082397008295,False,1.5236816451484274,sage,base_gfp,4
ks,40,0.7209302325581395,True,0.6434108527131783,sage,base_gfp,4
conf,40,0.14200136176410946,False,0.17347664292577286,sage,base_gfp,4
psi,41,2.4366026960212794,True,1.5236816451484274,sage,base_gfp,4
ks,41,0.4728682170542636,False,0.6434108527131783,sage,base_gfp,4
conf,41,0.10338940376695188,False,0.17347664292577286,sage,base_gfp,4
psi,42,1.2007690266960573,False,1.5236816451484274,sage,base_gfp,4
ks,42,0.6356589147286822,False,0.6434108527131783,sage,base_gfp,4
conf,42,0.05934996910772722,False,0.17347664292577286,sage,base_gfp,4
psi,43,0.9255674988757383,False,1.5236816451484274,sage,base_gfp,4
ks,43,0.7054263565891473,True,0.6434108527131783,sage,base_gfp,4
conf,43,0.029864506897427534,False,0.17347664292577286,sage,base_gfp,4
psi,44,1.0654070274779905,False,1.5236816451484274,sage,base_gfp,4
ks,44,0.5271317829457365,False,0.6434108527131783,sage,base_gfp,4
conf,44,0.07952348881061888,False,0.17347664292577286,sage,base_gfp,4
psi,45,1.1946084977499207,False,1.5236816451484274,sage,base_gfp,4
ks,45,0.6046511627906976,False,0.6434108527131783,sage,base_gfp,4
conf,45,0.09748408389027913,False,0.17347664292577286,sage,base_gfp,4
psi,46,3.146406778299379,True,1.5236816451484274,sage,base_gfp,4
ks,46,0.4263565891472868,False,0.6434108527131783,sage,base_gfp,4
conf,46,0.10889933405611532,False,0.17347664292577286,sage,base_gfp,4
psi,47,1.0992834530064284,False,1.5236816451484274,sage,base_gfp,4
ks,47,0.6511627906976745,True,0.6434108527131783,sage,base_gfp,4
conf,47,0.031324955927144446,False,0.17347664292577286,sage,base_gfp,4
psi,48,1.6460483841916336,True,1.5236816451484274,sage,base_gfp,4
ks,48,0.6046511627906976,False,0.6434108527131783,sage,base_gfp,4
conf,48,0.0785837931807376,False,0.17347664292577286,sage,base_gfp,4
psi,49,1.7411674900877954,True,1.5236816451484274,sage,base_gfp,4
ks,49,0.6666666666666666,True,0.6434108527131783,sage,base_gfp,4
conf,49,0.12730438945464095,False,0.17347664292577286,sage,base_gfp,4
